Saint John Community Center,0,14320 Kercheval St Detroit  MI 48215 ,38-3390375,NA,NA,313-824-2248,Human Service,Non profit organization,to provide food and shelter for the homeless of Detroit,NA,Photo save,NA,313-823-8323,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/St-John-Congregational-Church/113458992021930,NA,NA,NA,27/2/2018
CENTRO MULTICULTURAL LA FAMILIA INC,0,35 W Huron Suite 500 Pontiac  MI 48342 USA,20-8900737,sacosta@centromulticultural.org,www.centromulticultural.org,248-858-7800,Human Service,We are a private  not-for-profit  mission-driven organization that provides comprehensive services to a diverse community. While most of the clients we serve now are of Hispanic descent  we strive to offer services to a broader cultural community.,To provide culturally competent support services to families in a holistic approach in order to improve their quality of life,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/centromulticultural,Centro Multicultural La Familia does not have any upcoming events.,NA,NA,27/2/2018
Urban Neighborhood Initiatives Inc,0,8300 LONGWORTH ST DETROIT   MI 48209 ,38-3417161,NA,WWW.DNIDETROIT.ORG,313-841-4447,Human Service,ONI ENGAGES IN COMPREHENSIVE ACTION TO ADDRESS HUMAN AND COMMUNITY DEVELOPMENT. INDIVIDUALS AND  FAMILIES ARE ENTHUSED AS THEY PROSPER AND BECOME ENCOURAGED TO INVEST IN THEIR HOMES AND COMMUNITIES.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018
First Ward Community Service,0,1410 N 12TH STREET SAGINAW  MI 48601 ,38-1367311,cdalton@firstward.us,WWW.FIRSTWARD.US,989-753-0411,Human Service,First Ward Community Service a 501 (c) 3  non-profit organization is celebrating its 85th year in the Saginaw community. We are so excited to reach this milestone and celebrate all of its accomplishments throughout these 85 years.,THE MISSION OF FIRST WARD COMMUNITY SERVICE IS TO POSITIVELY INFLUENCE THE LIVES OF PEOPLE IN OUR COMMUNITY  BY FOCUSING ON LOW-MODERATE INCOME FAMILIES AND SENIORS. WE ADDRESS SOCIAL AND BEHAVIORAL NEEDS TO CHANGE THE ENVIRONMENT. WE PROVIDE PREVENTION EDUCATION AND RECREATION  WHICH IMPROVES QUALITY OF LIFE AND PROMOTES HEALTHY LIVING. OUR MISSION IS FUNDED THROUGH FUND DEVELOPMENT  FOUNDATIONS  INDIVIDUALS  FEDERAL  STATE AND LOCAL FINANCIAL INSTITUTIONS AND SPECIAL EVENTS. THE KEY TO OUR SUCCESS IS COLLABORATING WITH COMMUNITY PARTNERS TO OPTIMIZE PROGRAMS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FirstWard1410/about/?ref=page_internal,First Ward Community Service does not have any upcoming events.,NA,NA,27/2/2018
Beatrice & Reymont Paul Foundation,0,5912 Shillingham Dr W Bloomfield   MI 48322 ,20-1279991,team@paulfoundation.org,WWW.PAULFOUNDATION.ORG,NA,Human Service,The Beatrice and Reymont Paul Foundation was established in 2004. The Foundation brings people and resources together in the areas of medicine  education  community and culture. Our mission is to provide economic and strategic support along with consultancy to organizations.,To provide economic and strategic support along with consultancy to organizations. We believe this type of partnership is an essential role of philanthropy and a critical element for the sustainability of the organizations we support. We bring people and resources together to create the extraordinary!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Beatrice-Reymont-PAUL-Foundation-1886263684954332/,NA,NA,NA,27/2/2018
My Beloved Group Home,0,24260 RADCLIFT ST OAK PARK   MI 48237 ,35-2401568,mybelovedhome@aol.com,www.mybelovedgrouphome.com,248-470-0063,Human Service,My Beloved Group Home is a non-profit organization that prides itself on serving a diverse community of individuals.  Our goal is to encompass supervised quality care with independence.  We work in conjunction with physicians  case managers  family/friends  and most of all the client. ,TO PROVIDE A STABLE AND SAFE ENVIRONMENT FOR THOSE CONSUMERS WHO DESIRE TO LIVE INDEPENDENTLY BUT REQUIRE SUPERVISION TO PROVIDE SERVICES TO THE MENTALLY ILL  DEVELOPMENTALLY HANDICAPPED  ALZEIMERSVICTIMS. THIS ENVIRONMENT WILL HELP PROMOTE PHYSICAL  EMOTIONAL AND SOCIAL SKILL.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/My-Beloved-Group-Home-877678008975966/,NA,NA,NA,27/2/2018
Lifelong Advocacy Inc,0,43970 N GRATIOT AVE CLINTON TWP   MI 48036 ,45-2856633,dwitherow@lifelongadvocacy.org,WWW.LIFELONGADVOCACY.ORG,586-846-2457,Human Service,LifeLong ADVOCACY is a 501c3 non-profit agency serving as a 3rd party billing agency that processes payroll for consumers who participate in the Self-Determination program. By doing so at a high and efficient level  we like to think that we enrich the lives of the population that we serve.,TO PROVIDE FISCAL INTERMEDIARY SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITHIN THE PARAMETERS OF STATE AND FEDERAL LAWS AND REGULATIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,There are no events scheduled during this period.,NA,NA,27/2/2018
Wanda Muntwyler Foundation for Animals,0,PO BOX 3636 GRAND RAPIDS   MI 49501 ,36-7155124,robert.peiler@53.com,www.muntwylerfoundation.org,800-400-0439,Animal Related,The sole objective of The Wanda Muntwyler Foundation is to further the prevention of cruelty to animals and strengthen the human-animal bond. The Foundation income shall be exclusively devoted to charitable or educational activities  which directly affect the care of animals. Since the Foundations asset size is limited  funding will be given to areas that the grant committee feels can make the greatest impact and where the need is most critical. Those activities  at this time  shall be limited to projects within the state of Illinois. Specific purposes the foundation may support could include  but not necessarily be limited to  promoting the well being of animals; funding animal charities; awarding veterinary scholarships; encouraging the advancement of veterinary education and research into the causes and treatment of animal disease; protecting endangered species or creating open land preserves for wildlife  nature preserves or zoological parks.,promoting the well being of animals; funding animal charities; awarding veterinary scholarships; encouraging the advancement of veterinary education and research into the causes and treatment of animal disease; protecting endangered species or creating open land preserves for wildlife  nature preserves or zoological parks.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,21/3/2018,
Animal Welfare Society of Southeastern Michigan,0,27796 JOHN R RD MADISON HTS   MI 48071 ,38-2400709,NA,WWW.ANIMALWELFARESOCIETY.NET,248-548-1150,Animal Related,"The Animal Welfare Society of Southeastern Michigan (""AWS"") was formed in 1982 by a group of concerned veterinarians and individuals who were alarmed at the rate of euthanasia performed on healthy and social cats  dogs  kittens and puppies. The goal of the organization is to secure homes for as many rescued animals as possible.  In the past 30 years  AWS has found homes for over 20 000 ""unwanted"" felines and canines. These puppies  kittens  dogs and cats are rescued from various pounds throughout Michigan and Ohio  some are strays  and some are owner surrenders. Each accepted animal is given a thorough physical examination  vaccinations and treatment by a participating veterinarian to insure they are healthy and well adjusted. All animals over 4 months of age are spayed or neutered. An incentive sterilization deposit is refunded after the procedure is performed on animals under the age of 4 months.",AWS is an adoption network committed to finding homes for companion animals. We are a no-kill 501(c)(3) non-profit organization  and we place animals of all ages into loving homes. Although we opened our own 5 000 square foot shelter in May  2007  we still rely on a network of volunteer foster homes and owners to hold onto their pets until adopted  as there is simply not enough room in our shelter for all the unwanted animals we wish to save. It is through the generous contributions of caring people that AWS is able to keep our shelter open and save as many animals as we do. AWS offers a Free Pet Food Program to persons needing assistance obtaining food for their dogs and cats.  Persons in need can stop into our shelter to pick up free pet food. ,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/AnimalWelfareSocietyOfSoutheasternMichigan/events/?ref=page_internal,Animal Welfare Society of Southeastern Michigan does not have any upcoming events.,NA,NA,21/3/2018,
Genesee County Humane Society,0,G3325 S DORT HWY BURTON  MI 48529 ,38-1265627,NA,WWW.GENESEEHUMANE.ORG,810-744-2922,Animal Related,We adopt companion animals! All of our dogs and cats have been spayed/neutered  microchipped and given their first set of shots. Each dog or cat also will receive a coupon for a free bag of food  30 days free pet health insurance  and a free vet visit.,Our mission is to provide shelter and adoption of companion animals  reduce over-population  extend humane education  prevent cruelty  and provide those services that promote the goals and policies of The Humane Society of Genesee County (HSGC). The HSGC???s focus remains on the companion animals of Genesee County  treating them and one another with dignity and respect  providing them with the best possible humane treatment until we are able to locate their forever homes.,NA,Photo save,NA,810-744-0511,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/HumaneSocietyofGeneseeCounty/about/?ref=page_internal,20th Annual Paws on Parade  Sunday  April 22 at 12 PM - 3 PM EDT  9057 S. Saginaw Road  Grand Blanc  Michigan 48439,NA,NA,21/3/2018,
Upper Peninsula Animal Welfare Shelter Inc,0,PO BOX 968 MARQUETTE   MI 49855 ,38-2228501,NA,WWW.UPAWS.ORG,906-475-6661,Animal Related,Our mission is to improve the quality of life and welfare for domestic animals and to provide a safe haven while finding lifelong homes for the animals in our care. We embrace the No Kill philosophy  seeking to end the euthanasia of healthy and treatable animals.,TO IMPROVE THE QUALITY OF LIFE AND WELFARE FOR DOMESTIC ANIMALS AND TO PROVIDE A SAFE HAVEN WHILE FINDING LIFELONG HOMES FOR THE ANIMALS IN OUR CARE. TO EMBRACE THE NO KILL PHILOSOPHY SEEKING TO END THE EUTHANASIA OF HEALTHY AND TREATABLE ANIMALS.,We have many volunteer tasks  available at UPAWS such as animal caregiver and socializing. For most volunteer positions in the shelter  we would like a two month minimum commitment to volunteering. If you would like to help out for a shorter period of time  or help with events and special projects  please complete the application and we will contact you with information about upcoming events! We can always find an opportunity for you  so don???t hesitate to sign up! All in-shelter volunteers must attend a volunteer orientation. Once we have received your application  you will be contacted by email to set up a time to attend an orientation. This training session will familiarize you with the building  animals  proper procedures  safety and how to log your volunteer hours. The age to be able to volunteer in the shelter is 16 years. Minors can volunteer starting at the age of sixteen but they must be accompanied each time by a parent or guardian. Minors  ages 17-18  will need a parental consent form signed before volunteering. All youth under 18 are able to handle our entry level animals only (what we call purple coded animals) for safety reasons. Many of the animals that come to us have unknown histories. All people working at our shelter need to be able to manage unpredictable situations.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/upaws/,Upper Peninsula Animal Welfare Shelter does not have any upcoming events.,NA,NA,21/3/2018,
Michigan Animal Rescue League,0,790 Featherstone Pontiac  MI 48342 ,38-1557622,marleague@aol.com,www.michigananimalrescueleague.org,248-335-9290,Animal Related,The Michigan Animal Rescue League is one of southeast Michigans most established animal shelters  serving the community since 1953. The Michigan Animal Rescue League believes that every animal deserves the highest quality of life.,MARL  has been providing services since 1953. Michigan Animal Rescue League is a non-profit animal shelter that provides comprehensive services for dogs and cats.  Services include medical care  adoption  quality long-term shelter life and a neighborhood community outreach program (which provides assistance with food and spay neuter).  Our goal is to provide  through staff and volunteers  an active and stimulating environment where each animal can grow and thrive,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/marleague/,Yappy Hour 2018  Thursday  June 7 at 6:30 PM - 9 PM EDT  350 Estate Drive  Rochester  Michigan 48309,NA,NA,21/3/2018,
International Wildlife Refuge Alliance,0,9311 GROH RD GROSSE ILE   MI 48138 ,20-3318708,iwr_alliance@yahoo.com,WWW.IWRALLIANCE.ORG,734-692-7671,Animal Related,Established in 2006  the International Wildlife Refuge Alliance (IWRA) is the Friends Organization for the Detroit River International Wildlife Refuge (DRIWR). We are an independent  nonprofit organization dedicated to supporting the mission and purposes of the DRIWR  the only international refuge in North America. (Learn more about the Refuge.),We work with partnerships to protect  conserve  and manage the Refuge???s wildlife and habitats; to create exceptional conservation  recreational  and educational experiences; and to develop the next generation of conservation stewards. We provide many vital services to the Refuge  such as community outreach  education programs  habitat restoration  special events support  volunteer staff  advocacy and fundraising.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/iwra.mi/,NA,NA,NA,21/3/2018,
Humane Society and Animal Rescue of Muskegon County,0,2640 Marquette Ave Muskegon  MI 49442 ,23-7198752,office@muskegonhumanesociety.org,WWW.MUSKEGONHUMANESOCIETY.ORG,231-773-8689,Animal Related,Maintaining the health of our cats and dogs is imperative for finding them forever-homes. In some cases  it is not just a matter of maintaining health but restoring it. None of this would be possible without the generous contributions of time  energy and veterinary medical expertise provided to our shelter animals by these fine veterinarian practices:,TO SHELTER AND FIND FOREVER HOMES FOR HOMELESS DOGS AND CATS,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,21/3/2018,
Mackenzies Animal Sanctuary Inc,0,8665 THOMPSON RD LAKE ODESSA  MI 48849 ,38-3533253,mackpackfb@gmail.com,WWW.MACKENZIES.INFO,616-247-3611,Animal Related,Mackenzies Animal Sanctuary is the largest no-kill dog sanctuary in the Midwest and is dedicated to finding loving homes for abused  abandoned and neglected dogs.,Mackenzie???s Mission is to provide and find loving homes for abused  abandoned and neglected dogs; spay/neuter rescued dogs to stop the cycle of unwanted litters; assist in public education for the betterment of our local animal community and to maintain the highest standards of care for the animals  including veterinary care.,There are many different volunteer opportunities available at MAS: Helping the dogs at the sanctuary: walking  training  feeding  grooming  reading  playing  etc. Educational/community outreach events  Meet and Greets: We have Meet and Greets all over West Michigan! Fundraisers  Distributing and collecting donation boxes,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/MackenziesAnimalSanctuary/,Mackenzies Animal Sanctuary does not have any upcoming events.,NA,NA,21/3/2018,
Michigan Veterinary Medical Assn,0,2144 COMMONS PKWY OKEMOS   MI 48864 ,38-1485391,NA,WWW.MICHVMA.ORG,517-347-4710,Animal Related,The Michigan Veterinary Medical Association  founded in 1883  is comprised of more than 2 200 veterinarians and veterinary students. It provides continuing education for veterinarians and related professionals  monitors state legislation and regulations  and promotes veterinary medicine through a multifaceted public education program. Each year the association provides more than 200 hours of educational programs for veterinarians  veterinary technicians and support staff.,TO PROMOTE THE SCIENCE AND ART OF VETERINARY MEDICINE AND ITS RELATED BRANCHES. IMPROVE  ENCOURAGE  AND SUPPORT THE DEVELOPMENT OF VETERINARY SERVICE. ELEVATE THE STANDARDS OF VETERINARY MEDICINE IN ALL ITS BRANCHES. PROTECT THE PROFESSIONAL INTEREST OF DULY QUALIFIED VETERINARIANS. TO PROCURE THE ENACTMENT OF JUST AND APPROPRIATE LAWS AND REGULATIONS GOVERNING THE PRACTICE OF VETERINARY MEDICINE  AND DIRECT PUBLIC ATTENTION TO THE RELATIONSHIP OF ANIMAL PRODUCTION AND ANIMAL HEALTH TO HUMAN WELFARE.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/ilovemyvet,Michigan Veterinary Medical Association does not have any upcoming events.,NA,NA,21/3/2018,
Harbor Humane Society,0,14345 Bagley St @ US 31 West Olive  MI 49460 USA,38-1623660,Finance@harborhumane.org,www.harborhumane.org,616-399-2119,Animal Related,Harbor Humane Society is a 501(c)-3 non-profit serving the needs of animals in Ottawa County. We could not do what we do without the support of our donors and volunteers - please take a moment to consider how you can contribute to our cause!,Harbor Humane Societys mission is to provide a safe harbor for animals entrusted to our care as we strive to secure their future through our outreach and educational programs.,OPPORTUNITIES: Maintenance/Custodial  Groundskeeper  Transportation  Event needs  Dog Walking  Quality time with pets  Foster a pet  Office and front end support,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/harborhumane,SOLD OUT! Paws & Paint  Saturday  April 14 at 6 PM - 8 PM EDT  14345 Bagley St  West Olive  Michigan 49460,Kids that Care Spring Break Camp  Apr 2 at 9 PM to Apr 4 at 5 PM EDT  14345 Bagley St  West Olive  Michigan 49460,Palace Pets (Adoption and Fundraising Event)  Saturday  April 21 at 12 PM - 4 PM EDT  14345 Bagley St  West Olive  Michigan 49460,21/3/2018,
BELLWETHER FOUNDATION,0,Po Box 475 7645 W 48th Fremont  MI 49412 USA,38-3182232,wendy@bellwetherharbor.org,www.bellwetherharbor.org,231-924-9230,Animal Related,Bellwether Harbor Animal Shelter and Training Center is a non profit 501c3 organization. We are dedicated to the health and well-being of the abandoned  abused and neglected dogs and cats coming into our shelter  preparing them for their adoption with people looking for forever companionship. We do this through medical care  socialization  training  and sometimes rehabilitation.,Bellwether Harbor is dedicated to the health and well-being of the abandoned  abused and neglected dogs and cats coming into our shelter  preparing them for their adoption with people looking for forever companionship. We do this through medical care  socialization  training  and sometimes rehabilitation. We work with people looking to adopt our animals by helping them to find the dog or cat that is the best fit with their lifestyle. We do this through an interview process  multiple visits  education and training. Our ultimate goal is to encourage and support the human animal bond.,There are many volunteer opportunities at Bellwether. Some of these include: Socializing cats and dogs  Walking dogs  Bathing and grooming animals  Clerical workers  Housekeeping,Photo save,7645 W 48th Street Fremont  MI 49412 ,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/BellwetherHarbor,Run Forrest Run 5K Trail Run & 1 Mile Walk  Saturday  June 2 at 8 AM - 11 PM EDT  Fremont  Michigan 49412,NA,NA,21/3/2018,
Community Spay Neuter Initiative Partnership C-SNIP,0,1675 Viewpond SE Kentwood  MI 49508 USA,38-3463298,info@csnip.org,www.csnip.org,616-455-8220,Animal Related,C-SNIP is a non-profit  charitable organization  providing high quality  reduced cost spay and neuter surgeries for all West Michigan dogs and cats.,C-SNIP is a non-profit  charitable organization  providing high quality  reduced cost spay and neuter surgeries for West Michigan dogs and cats  so that all owners and caregivers can afford to make the healthy decision for their pet and generations to come  regardless of their income.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Csnip.org/,Paint Your Pet - Dorr  Friday  March 23 at 6 PM - 8 PM EDT  1818 142nd Ave  Dorr  Michigan 49323,Vaccine Clinic for Low-income pet owners  Friday  March 23 at 11 AM - 1 PM EDT  1675 Viewpond Dr SE  Kentwood  Michigan 49508,NA,21/3/2018,
DELTA ANIMAL SHELTER,0,6975 County 426 M.5 Road Escanaba  MI 49829 USA,45-2725668,deltaanimals@yahoo.com,www.deltaanimal.org,906-789-0230,Animal Related,The Delta Animal Shelter is a 501c3 no kill open admission shelter. Our mission is to be the caring voice for animals in need. We are committed to promoting animal welfare and to educate the public on spay/neutering their animals. Home of the John and Melissa Besse Adoption Center.,Our mission: To be a caring voice for animals in need. Our vision: By example  foster a community with compassion and respect for animals. Our values: Safe from harm Home  until they all have one Encourage compassion Leaders in sheltering Teamwork Every animal spayed or neutered Respect for all We serve Delta County in Michigan.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Deltaanimalshelter.nokill/,Delta Animal Shelter Membership Meeting  2nd April 2018  5:30PM  Ferdinands Mexican Restaurant in downtown Escanaba,Delta Animal Shelter Membership Meeting  7th May 2018  5:30PM  Ferdinands Mexican Restaurant in downtown Escanaba,Delta Animal Shelter Membership Meeting  4th June 2018  5:30PM  Ferdinands Mexican Restaurant in downtown Escanaba,21/3/2018,
HUMANE SOCIETY OF LIVINGSTON COUNTY,0,2464 Dorr Road Howell  MI 48843 USA,38-3145532,jnicholson@humane-livingston.org,www.humanelivingston.org,517-552-8050,Animal Related,An independent non-profit organization in Mich providing pet adoptions  lost/found support  and education on humane treatment & responsible pet ownership.,The Humane Society of Livingston County goes the extra mile to be a community resource by providing loving  compassionate care  pet adoption  humane education and services.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/humanesocietyoflivingstoncounty/about/?ref=page_internal,Fur Ball 2018  Saturday  April 14 at 5:30 PM - 11:30 PM EDT  5768 E Grand River Ave  Howell  Michigan 48843,NA,NA,21/3/2018,
Tail Waggers 1990,0,28402 Five Mile Rd. Livonia  MI 48154 USA,27-2932777,tailwaggers.1990@yahoo.com,www.tailwaggers1990.org,734-855-4077,Animal Related,Tail Waggers is a 501 (c)(3) non profit organization based in Livonia  Michigan. Tail Waggers offers affordable preventative pet care and spay/neuter services - regardless of income level - and NEVER charges an office visit or exam fee! Wellness Services include: Vaccinations  Heartworm Testing  FeLV/FIV Combo Testing ,Tail Waggers 1990 is committed to helping people help animals.  It is our ultimate goal to be able to support dedicated pet owners who are in need of assistance along with providing necessary funding for those animals in emergency situations.,"Office Help/Administrative Volunteers are always needed in our Administrative office doing such things as reminder calls  filing  assisting with the Pantry 4 Paws program and other miscellaneous items.  Our Wellness Center and Spay/Neuter Clinic has administrative duties as well as general light cleaning  laundry help  cleaning up after surgeries and organizing. Website Updating/Social Media An experienced website design/developer that would volunteer to update and refresh our website is needed.  A stronger presence with social media  on Facebook  Twitter and Instagram is also an important role to fill. Off-Site Clinic Events Volunteers are needed for off-site clinics held throughout the year.  Volunteers must be able to follow directions  commit to a 4 - 5 hour shift and have transportation to the off-site location. Cat Adoption Centers Volunteers are needed at the Livonia Petco store and/or Premier Pet Supply in Livonia.  Adoption Center volunteers interact and socialize the cats awaiting their forever homes.  Volunteers are responsible for cleaning cages  giving them fresh food and water  playing with and  communicating with potential adopters!  Adoption Center volunteers serve as a representative of Tail Waggers. Pet Foster Homes Do you have room for a cat and/or a litter of kittens?  During ""kitty season"" we have an influx of cats and kittens - some bottle-feeders - that need a place to stay while they grow and get ready for adoption.  We provide the support  food and medical care while in Foster care.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Tailwaggers1990Livonia/posts/2564026747069630,Cruisin 4 Critters  Sunday  September 16 at 9:30 AM - 4 PM EDT  36534 Plymouth Rd  Livonia  Michigan 48150,29th Annual Tail Waggers Bowl  Saturday  November 10 at 3:30 PM - 11:30 PM EST  33775 Plymouth Rd  Livonia  Michigan 48150,NA,21/3/2018,
