organization_name,parent_id,address,tax_id,Email,web_url,phone,cause,about_us,our_activity,why_us,Photos,address1,phone2,irs_rank,fb_url,event1,event2,event3,submission_date
Tau Beta Pi Michigan Alpha Chapter Michigan State University,0,5050 ANTHONY WAYNE DR DETROIT, MI 48202,23-7050983,engadmissions@wayne.edu,www.egr.msu.edu/tbp/links.html,313-577-3780,Education,Tau Beta Pi is the national engineering honor society,The Wayne State University College of Engineering improves quality of life through engineering and computer science education, research innovation and entrepreneurship,These state-of-the-art facilities, combined with cutting-edge research and strong academics, have allowed the college to become a key player in Michigan???s transition from a manufacturing economy to a strong, effective and diversified high tech global marketplace,Photo save,NA,NA,This organization is required to file an IRS Form 990-N,https://www.facebook.com/WayneStateEng/,Wayne State University College of Engineering does not have any upcoming events,NA,NA,NA
The Ark Association - Detroit,0,"PO BOX 13280 DETROIT , MI 48213",02-0795267,butlerklodian@hotmail.com,www.thearkassociation.org,313-460-2709,Youth Development,Nonprofit Organization,"Our organization's mission is dedicated to developing programs to assist people from the community with physical, mental, financial and addictive challenges in becoming more productive members of society through direct assistance, referrals, advocacy and public awareness. ","There are many needs out on the streets; however, just a penny a day will help prepare a meal which makes all the difference to a hungry person. When that person is nourished, he or she is able to think about more than the immediate need of eating. This allows the individual the ability to take the next step toward the door of opportunity. Your donation allows us to be your ambassadors on the street with a message of hope for new beginnings and a a brighter tomorrow.",Photo save,"4270 E. Outer Drive Detroit, Michigan 48213-3289",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/people/The-Ark-Association/48807408829,EVERY SATURDAY TAKIN' IT TO THE STREETS Outreach to our friends who are homeless! We meet at 1:45 p.m. at Roosevelt Park in Detroit located at Michigan Avenue & W. Vernor Hwy just in front of the Michigan Central Train Depot,"The 10th ANNUAL DANIEL DOYLE MEMORIAL RUN SEPTEMBER 24TH MARK YOUR CALENDARS NOW!!! PRIZES, AWARDS, AND LUNCH JOIN US FOR THIS FUN RUN THROUGH THE CITY STREETS OF DETROIT AND ALONG THE RIVER! Proceeds will go to the Daniel Doyle Community Resource Center.",NA,NA
JEWISH FAMILY SERVICES OF WASHTENAW COUNTY INC,0,"2245 South State St Ste 200 Ann Arbor, MI 48104 USA",41-2147486,info@jfsannarbor.org,www.jfsannarbor.org,734-769-0209,Human Service,"JFS provides services to people from all walks of life. As an agency in Washtenaw County that serves a diverse, international population, the mission of JFS is to create solutions, promote dignity and inspire humanity.","As an agency in Washtenaw County that serves a diverse, international population, the mission of Jewish Family Services is to create solutions, promote dignity and inspire humanity.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/jfsannarbor/,"Demystifying End of Life Conversations, Practices & Planning, Friday, March 9 at 8:30 AM - 12:30 PM EST, 6230 S. State Street, Saline, Michigan 48176","Kids Care Fair 2018, Sunday, March 18 at 3 PM - 5 PM EDT, 5425 Scio Church Rd, Ann Arbor, Michigan 48103",NA,16/2/2018,
Family Service and Children's Aid,0,"P.O. Box 6128 Jackson, MI 49204 USA",38-6088382,jackson@strong-families.org,www.Strong-Families.org,517-787-7920,Human Service,"Family Service & Children's Aid touches the lives of thousands of Michigan families in Jackson and surrounding counties through counseling, community and school based programs, substance abuse treatment, and foster care and adoption.","To strengthen the emotional health and functioning of children, adults and families through counseling, education, foster care and adoption, advocacy and program development.",NA,Photo save,"330 W. Michigan Ave. Jackson, MI 49201 ",NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/FamilyServiceChildrensAid/,NA,NA,NA,16/2/2018,
International Samaritan,0,"803 N Main Street Ann Arbor, MI 48104 USA",34-1811907,info@intsam.org,www.intsamaritan.org,734-222-0701,Human Service,Non profit organization,"International Samaritan serves victims of severe poverty in garbage dump squalor in the developing world by partnering with them and others to alleviate hunger, homelessness, endemic disease, and ignorance.","All gifts, donations and grants from foundations, corporations or individuals are gratefully received. A portion of all donations or grants will be used to help defray the costs of program oversight and management. International Samaritan has external and internal audits as well as electronic donor records, grant reports and accounting staff to help provide proper oversight and administration of donations and grants. International Samaritan is grateful that all donors contribute to these important services.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/InternationalSamaritan,International Samaritan does not have any upcoming events.,NA,NA,16/2/2018,
Metropolitan Children and Youth Inc,0,"13110 14TH ST DETROIT , MI 48238 ",38-2586568,NA,NA,313-867-0500,Human Service,Non profit organization,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Northern Lights YMCA Inc,0,"PO BOX 602 ESCANABA, MI 49829 ",38-2615035,NA,WWW.YMCADELTA.ORG,906-789-0005,Human Service,Non profit organization,"TO HELP PEOPLE DEVELOP CHRISTIAN CHARACTER AND TO AID IN BUILDING A CHRISTIAN COMMUNITY WHERE ALL PEOPLE, ESPECIALLY THE YOUNG, ARE ENCOURAGED TO DEVELOP TO THEIR FULLEST POTENTIAL IN SPIRIT, MIND, AND BODY BY PARTICIPATING IN YMCA PROGRAMS AND CLASSES THAT ARE DESIGNED FOR IMPROVEMENT OF PHYSICAL, MENTAL, SOCIAL, MORAL, AND EDUCATIONAL CONDITIONS. THE YMCA WELCOMES EVERYONE, REGARDLESS OF AGE, RACE, SEX, FAITH, ETHNICITY, ABILITY, OR RELIGION. YMCA MEMBERSHIP ACTIVITIES CREATE SUPPORTIVE COMMUNITIES OF MEMBERS WHO ARE INVOLVED IN A VARIETY OF ENRICHING ACTIVITIES, RECREATIONAL AND SUPPORTIVE SOCIAL NETWORKS, AND A SENSE OF BELONGING. YMCAS ARE FOUNDED BY VOLUNTEERS, LED BY VOLUNTEERS, AND ENCOURAGE VOLUNTEERISM IN THEIR PROGRAMS. DUES ARE BASED ON COMMUNITY AFFORDABILITY, AND FINANCIAL ASSISTANCE IS AVAILABLE FOR THOSE WHO CANNOT AFFORD TO PAY THE FULL COST OF MEMBERSHIP.",NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
"Goodwill Industries of St. Clair County, Inc. ",0,"1013 26th St Port Huron, MI 48060 ",38-1553452,NA,www.goodwillscc.org,810-987-9333,Human Service,"We Help People Work."" We provide services, employment opportunities, training, and programs for individuals with vocational barriers","Founded in 1902 by Rev. Edgar Helms, Goodwill Industries' primary mission is to place people in productive and competitive jobs. Goodwill Industries of St. Clair County is committed to helping persons with vocational barriers attain the fullest development of which they are capable by providing quality vocational rehabilitation training and meaningful work for personal growth. ???We Help People Work???","We rely on substantial aid from generous people like yourself who care to make a difference in the way their community is run. Our Social Services Organization depends on the generosity of benefactors like you. Thanks for helping us raise funds, every cent you decide to contribute makes a big difference in the world.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/goodwillscc/about/?ref=page_internal,Goodwill Industries of St. Clair County does not have any upcoming events.,NA,NA,16/2/2018,
Hope Network Foundation,0,"PO Box 890 Grand Rapids, MI 49518 ",38-2731395,scoomer@hopentwork.org,www.hopenetwork.org,616-248-5205,Human Service,"We are ordinary people who believe in extraordinary things???like someone taking the first steps after an injury or thriving in the community despite the immeasurable odds. As a team of 2,800, spread across the state of Michigan, united by a mission of faith, we believe anyone can overcome.","We are advocates for people who suffer from physical, mental, and social barriers that impact their daily life. With experts across Michigan, we help them overcome, so they can live their best life possible.","Will you join us? With your help, we can take on the challenges, the barriers, the statistics, the seemingly impossible. Help us overcome them all.",Photo save,"795 36th Street SE Grand Rapids, MI 49548 ",616.301.8000,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/hopenetwork/,"2018 Blue Bridge Walk for Autism and Sensory Friendly Museum Night, April 26, 2018, Blue Bridge, Grand Rapids, MI 49504, USA","2018 One in Five Marathon Relay and Community Walk, Friday Night June 8, 2018 ??? Grand Rapids, Michigan",NA,16/2/2018,
YMCA Of Saginaw,0,"1915 Fordney St. Saginaw, MI 48601 USA",38-1360594,SMeyer@SaginawYMCA.org,www.saginawymca.org,989-753-7721,Human Service,"The Y is a cause-driven organization that is for youth development, for healthy living and for social responsibility. That???s because a strong community can only be achieved when we invest in our kids, our health and our neighbors.","A strong community can only be achieved when we invest in our kids, our health and our neighbors. The YMCA is a powerful association of men, women and children of all ages and from all walks of life joined together by a shared passion: to strengthen the foundations of community. Though the world may be unpredictable, one thing remains certain - the YMCA is, and always will be, dedicated to building healthy, confident, connected and secure children, adults, families and communities.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/YMCAofSaginaw,"Fish Dinners February 16 to March 23 - 2018, Friday, February 16 at 4:30 PM - 7 PM EST, 2711 Mackinaw St, Saginaw, Michigan 48602",NA,NA,16/2/2018,
Communities of Hope Inc,0,"2325 W SHIAWASSEE AVE STE 204 FENTON, MI 48430 ",26-4468628,NA,www.communitiesofhope.com,NA,Human Service,Non profit organization,"Communities of Hope is focused on meeting the health, educational, employment, and entrepreneurial development challenges we face today. Through initiatives like our ???Spending With Purpose??? program we have created lasting success and sustainability without relying on the usage of grant money or donations to foster change. ",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Christ Child Society of Detroit,0,"15751 Joy Rd Detroit, MI 48228 ",38-1404582,NA,www.CCSDETROIT.ORG,313-584-6077,Human Service,Helping disadvantaged children in Metro Detroit,THE CHRIST CHILD SOCIETY OF DETROIT IS AN ORGANIZATION SERVING THE METROPOLITAN DETROIT AND OUT-STATE AREAS OF MICHIGAN BY PROMOTING THE WELL-BEING OF DISADVANTAGED CHILDREN AND THEIR FAMILIES.,Donations are the lifeblood of every charitable organization. We rely on the generosity of our very much-appreciated members/volunteers and donors to help us defray the day-to-day cost of providing our charitable services and meeting our mission of service to the less fortunate children.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/ChristChildSociety/,"pour les enfants luncheon, April 26 2018, 11:30 am - 2:30 pm, Pine Lake Country Club 3300 Pine Lake Rd. West Bloomfield, MI 48324 United States ",NA,NA,16/2/2018,
Charitable Union,0,"85 Calhoun St Battle Creek, MI 49017 USA",38-1405611,Info@CharitableUnion.org,www.charitableunion.org,269-964-7234,Human Service,Charitable Union has been serving the residents in and around Battle Creek since 1887. Come and see what sets us apart from other organizations.,"To contribute to human dignity by provide clothing, bedding and small household items at no charge and connect people to resources in the community.","Charitable Union has supported our local community for 131 years. Contributions received from all sources are fully returned to our local economy -- nothing we receive filters away to state- or federal-level umbrella organizations. We stand alone, with your financial support.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/charunion/about/?ref=page_internal,"Your dream PROM dress is waiting for you & it's FREE!, Saturday, March 24 at 10 AM - 3 PM EDT, 85 Calhoun St, Battle Creek, Michigan 49017",NA,NA,16/2/2018,
Wings of Hope Hospice,0,"530 Linn Street Allegan, MI 49010 USA",38-2453558,tlynn@wingsofhopehospice.com,www.wingsofhopehospice.com,269-686-8659,Human Service,We provide compassionate care at the end of life and support through the grief experience for individuals and families in Allegan County and surrounding communities.,"Wings of Hope Hospice helps patients enjoy their last days, weeks or months in the embrace of loved ones and comfort of home. We help dying patients and their loved ones through the dying process. We increase the patient???s choice, control, comfort and dignity and provide the training and assistance his or her loved ones will need to provide care.","Community support is vital to our organization, and the need for donations is ongoing. We are grateful for your support. While Medicare, Medicaid, and many private insurance plans provide benefits to pay for hospice care, the cost of some patients??? care often exceeds their reimbursement, and other patients do not qualify for Medicare or Medicaid and do not have insurance coverage. Families are never denied services from Wings of Hope because of inability to pay and your donations are essential for these services to continue. The generous support we receive from our community truly reflects our focus ??? celebrating life!",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/wingsofhopehospice/,NA,NA,NA,16/2/2018,
Little Scholars of Detroit,0,"19000 GRAND RIVER AVE DETROIT , MI 48223 ",38-3672949,alittlescholar@gmail.com,www.alittlescholarcdc.com,313-272-2514,Human Service,"Our goal is to help the children in our care develop positive character traits of honesty, courage, compassion and consistency.","Little Scholars CDC is a privately owned and operated childcare center licensed by the state of Michigan. The integration of arts and education makes Little Scholars Unique and benefits the student because we cultivate our children. We do so by gradually building literacy and developing intuition, reasoning, imagination, and dexterity.",NA,Photo save,"8726 Woodward Avenue Detroit, MI 48202",NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/LittleScholarsCDC/,Little Scholars Child Development Center does not have any upcoming events.,"Coping With Loss ??? Wayland, February 15 2018, 411 E. Superior Wayland,MI49348United States","Lunch Gathering ??? Otsego/Plainwell, February 20 2018, 11:00 am - 1:00 pm, 1243 M-89 Plainwell,MI49080United States",19/2/2018,
